2014-08-14 15:21:35

------------

1069 samples in ../split_library_log/Song_2012_family_study_study_797_split_library_log.txt
1069 samples in ../otu_table_stats/Song_2012_family_study_otu_table_stats.txt

------------
sample	splitLibLog	otuTableStats	percent
53.CB.FrontLeftPaw.374548	5396.0	4541.0	0.841549295775
31.CA.BackLeftPaw.375142	5476.0	2027.0	0.370160701242
54.HB.RightPalm.374922	5476.0	5243.0	0.957450693937
17.CA.BackRightPaw.374807	5549.0	4168.0	0.751126329068
02.HC.RightPalm.375183	5559.0	992.0	0.178449361396
48.CA.BackRightPaw.374816	5587.0	4632.0	0.829067478074
41.HB.Stool.374652	5587.0	5028.0	0.89994630392
02.HA.Forehead.375338	5606.0	5514.0	0.983589011773
1023.Forehead.375213	5612.0	5560.0	0.990734141126
14.HB.Forehead.374386	5644.0	5557.0	0.984585400425
48.CA.BackLeftPaw.374753	5658.0	4260.0	0.752916224814
43.HA.LeftPalm.375394	5669.0	4353.0	0.767860292821
50.CB.BackLeftPaw.375379	5676.0	3695.0	0.650986610289
66.HC.LeftPalm.375395	5695.0	5128.0	0.900438981563
02.HA.RightPalm.374456	5768.0	1667.0	0.289008321775
13.HA.Stool.374834	5785.0	5412.0	0.935522904062
1402.RightPalm.374900	5797.0	5601.0	0.966189408315
61.HB.LeftPalm.374647	5946.0	4497.0	0.756306760848
20.HA.LeftPalm.375384	5951.0	5706.0	0.958830448664
1204.LeftPalm.374860	5982.0	5709.0	0.954363089268
07.HA.LeftPalm.375331	6001.0	3731.0	0.621729711715
26.CA.BackLeftPaw.375221	6014.0	5225.0	0.868806119056
20.HB.Forehead.374930	6043.0	5687.0	0.941088863147
04.HB.Forehead.374486	6096.0	5371.0	0.881069553806
24.HB.LeftPalm.374837	6122.0	1974.0	0.322443645867
49.HB.Tongue.374379	6159.0	5964.0	0.968339016074
66.CA.Tongue.375074	6217.0	4658.0	0.7492359659
56.CA.Stool.375271	6259.0	4795.0	0.766096820578
373.Forehead.375281	6260.0	6057.0	0.967571884984
1075.Tongue.375121	6273.0	5889.0	0.938785270206
50.CA.Tongue.374734	6282.0	4797.0	0.763610315186
51.HB.Forehead.374772	6342.0	4538.0	0.715547146011
21.HA.Forehead.375397	6389.0	6347.0	0.993426201283
03.HA.Stool.374878	6435.0	5612.0	0.872105672106
53.HA.Forehead.375052	6451.0	5521.0	0.855836304449
19.CA.FrontLeftPaw.375169	6533.0	2439.0	0.373335374254
07.HB.Forehead.374418	6588.0	6432.0	0.976320582878
48.CA.FrontLeftPaw.375124	6591.0	5262.0	0.798361401912
44.HA.LeftPalm.374417	6638.0	5609.0	0.844983428744
61.HB.RightPalm.375232	6656.0	6566.0	0.986478365385
61.HB.Stool.374726	6695.0	6188.0	0.92427184466
71.CA.BackRightPaw.375278	6745.0	5878.0	0.871460340993
30.CA.Tongue.375355	6752.0	5766.0	0.853969194313
17.HA.LeftPalm.374824	6850.0	5995.0	0.875182481752
1053.RightPalm.374677	6858.0	5873.0	0.856372120152
07.HB.Stool.375413	6930.0	5767.0	0.832178932179
46.CA.Tongue.374466	6951.0	5459.0	0.785354625234
27.CA.Tongue.375166	6954.0	6362.0	0.914869140063
54.HD.LeftPalm.374605	6961.0	4746.0	0.681798592156
1406.Forehead.375176	6985.0	6385.0	0.914101646385
390.Forehead.375347	6997.0	6526.0	0.932685436616
05.HC.Forehead.374446	7000.0	6802.0	0.971714285714
53.CB.Tongue.374364	7049.0	2875.0	0.407859270819
44.HB.LeftPalm.375066	7105.0	6485.0	0.912737508797
20.HA.Stool.374776	7107.0	6386.0	0.898550724638
29.HB.RightPalm.374829	7167.0	6923.0	0.965955071857
1053.Forehead.374842	7169.0	6738.0	0.939880039057
1053.LeftPalm.374688	7271.0	6013.0	0.826983908678
51.HA.LeftPalm.375389	7280.0	6169.0	0.84739010989
53.CB.BackRightPaw.375326	7306.0	5998.0	0.820969066521
267.LeftPalm.374565	7360.0	7128.0	0.96847826087
1020.Tongue.374925	7382.0	6986.0	0.946356001084
46.CB.Forehead.374503	7386.0	5440.0	0.73652856756
06.CB.BackRightPaw.375089	7487.0	4876.0	0.651262187792
37.HB.LeftPalm.375206	7502.0	6423.0	0.85617168755
62.HC.LeftPalm.374859	7516.0	6893.0	0.917110164981
52.CA.Tongue.374875	7543.0	6337.0	0.840116664457
