2014-08-14 15:22:00
studyName	sampleName	splitTotal	otuTableTotal	percentAssigned
Claesson_elderly_gut_study_486.txt	EM065.T3.441614	14957	14253	0.952931737648
Claesson_elderly_gut_study_486.txt	EM071.T3.441734	15063	14518	0.963818628427
Claesson_elderly_gut_study_486.txt	EM083.T3.441744	15411	14963	0.970929855298
Claesson_elderly_gut_study_486.txt	EM086.441698	15422	14201	0.920827389444
Claesson_elderly_gut_study_486.txt	EM079.441724	15514	14243	0.91807399768
Claesson_elderly_gut_study_486.txt	EM060.T3.441729	15531	14398	0.927049127551
Claesson_elderly_gut_study_486.txt	EM040.441709	15611	15201	0.973736467875
Claesson_elderly_gut_study_486.txt	EM093.T3.441670	15642	14450	0.923794911137
Claesson_elderly_gut_study_486.txt	EM100.T3.441627	15765	14439	0.915889628925
Claesson_elderly_gut_study_486.txt	EM150.441648	15846	14953	0.943645083933
Claesson_elderly_gut_study_486.txt	EM133.441663	15849	14559	0.918606852167
Claesson_elderly_gut_study_486.txt	EM108.441694	15917	15248	0.957969466608
Claesson_elderly_gut_study_486.txt	EM112.441630	15974	15482	0.969199949919
Claesson_elderly_gut_study_486.txt	EM090.441664	16051	15620	0.973148090462
Claesson_elderly_gut_study_486.txt	EM178.441705	16089	14639	0.909876313009
Claesson_elderly_gut_study_486.txt	EM031.441732	16112	15618	0.969339622642
Claesson_elderly_gut_study_486.txt	EM066.441656	16139	14184	0.878864861516
Claesson_elderly_gut_study_486.txt	EM053.T3.441688	16176	15574	0.962784371909
Claesson_elderly_gut_study_486.txt	EM124.441697	16202	15479	0.955375879521
Claesson_elderly_gut_study_486.txt	EM055.T3.441626	16216	15070	0.929329057721
Claesson_elderly_gut_study_486.txt	EM065.441667	16311	14371	0.881061860094
Claesson_elderly_gut_study_486.txt	EM163.441642	16316	15522	0.951336111792
Claesson_elderly_gut_study_486.txt	EM036.441587	16428	15893	0.967433649866
Claesson_elderly_gut_study_486.txt	EM056.441606	16499	15513	0.940238802352
Claesson_elderly_gut_study_486.txt	EM141.441684	16559	15759	0.951687903859
Claesson_elderly_gut_study_486.txt	EM082.441607	16601	16073	0.968194687067
Claesson_elderly_gut_study_486.txt	EM057.T3.441589	16614	16116	0.970025279884
Claesson_elderly_gut_study_486.txt	EMC04.441704	16638	16068	0.965741074648
Claesson_elderly_gut_study_486.txt	EM085.441675	16675	15557	0.932953523238
Claesson_elderly_gut_study_486.txt	EM047.T3.441645	16794	16362	0.974276527331
Claesson_elderly_gut_study_486.txt	EM039.441743	16816	16426	0.976807802093
Claesson_elderly_gut_study_486.txt	EMC07.441636	16861	14364	0.851906767096
Claesson_elderly_gut_study_486.txt	EM123.441687	17159	16850	0.981991957573
Claesson_elderly_gut_study_486.txt	EM122.441699	17232	15934	0.924675023213
Claesson_elderly_gut_study_486.txt	EM103.441691	17495	15635	0.893683909688
Claesson_elderly_gut_study_486.txt	EM083.441666	17766	17282	0.97275695148
Claesson_elderly_gut_study_486.txt	EM073.441594	17851	16792	0.940675592404
Claesson_elderly_gut_study_486.txt	EM064.441592	17998	16831	0.935159462162
Claesson_elderly_gut_study_486.txt	EM078.441658	18008	16969	0.942303420702
Claesson_elderly_gut_study_486.txt	EM155.441678	18014	17175	0.9534251138
Claesson_elderly_gut_study_486.txt	EM054.T3.441749	18097	17431	0.963198320164
